Organization short name,Geocode,Geolocated Country,Coordinates,Latitude,Longitude,Availability zones,Number of facilities,Year of commissioning,Investment,Renewable,Renewable strategy
Alibaba,SGP,Singapore,"(1.352083, 103.819836)",1.352083,103.819836,3,3,2015,,,
Alibaba,AUS,Australia,"(-33.8688197, 151.2092955)",-33.8688197,151.2092955,2,2,2016,,,
Alibaba,THA,Thailand,"(13.7563309, 100.5017651)",13.7563309,100.5017651,1,1,2022,,,
Alibaba,MYS,Malaysia,"(3.1319197, 101.6840589)",3.1319197,101.6840589,2,2,2017,,,
Alibaba,IDN,Indonesia,"(-6.1944491, 106.8229198)",-6.1944491,106.8229198,3,3,2018,,,
Alibaba,PHL,Philippines,"(14.5995124, 120.9842195)",14.5995124,120.9842195,1,1,2021,,,
Alibaba,IND,India,"(19.0759837, 72.8776559)",19.0759837,72.8776559,2,2,2018,,,
Alibaba,JPN,Japan,"(35.6764225, 139.650027)",35.6764225,139.650027,3,3,2016,,,
Alibaba,KOR,South Korea,"(37.5518911, 126.9917937)",37.5518911,126.9917937,1,1,2022,,,
Alibaba,"USA, VA",United States,"(37.4315734, -78.6568942)",37.4315734,-78.6568942,2,2,2015,,,
Alibaba,"USA, CA",United States,"(37.387474, -122.0575434)",37.387474,-122.0575434,2,2,2014,,,
Alibaba,DEU,Germany,"(50.1109221, 8.6821267)",50.1109221,8.6821267,3,3,2016,,,
Alibaba,GBR,United Kingdom,"(51.5072178, -0.1275862)",51.5072178,-0.1275862,2,2,2018,,,
Alibaba,ARE,United Arab Emirates,"(25.2048493, 55.2707828)",25.2048493,55.2707828,1,1,2016,,,
Alibaba,SAU,Saudi Arabia,"(24.1486906, 47.2718897)",24.1486906,47.2718897,2,2,2022,,,
Alibaba,HKG,China,"(22.3193039, 114.1693611)",22.3193039,114.1693611,3,3,2014,,,
Alibaba,CHN,China,"(36.0662299, 120.38299)",36.0662299,120.38299,2,2,2012,,,
Alibaba,CHN,China,"(39.904211, 116.407395)",39.904211,116.407395,12,12,2013,,,
Alibaba,CHN,China,"(40.7686911, 114.8855792)",40.7686911,114.8855792,3,3,2014,,,
Alibaba,CHN,China,"(40.8414899, 111.75199)",40.8414899,111.75199,2,2,2017,,,
Alibaba,CHN,China,"(40.9948599, 113.13201)",40.9948599,113.13201,3,3,2020,,,
Alibaba,CHN,China,"(30.2741499, 120.15515)",30.2741499,120.15515,8,8,2011,,,
Alibaba,CHN,China,"(31.230416, 121.473701)",31.230416,121.473701,11,11,2015,,,
Alibaba,CHN,China,"(32.0583799, 118.79647)",32.0583799,118.79647,1,1,2021,,,
Alibaba,CHN,China,"(22.5428599, 114.05956)",22.5428599,114.05956,6,6,2014,,,
Alibaba,CHN,China,"(23.7437299, 114.70039)",23.7437299,114.70039,2,2,2020,,,
Alibaba,CHN,China,"(23.1290799, 113.26436)",23.1290799,113.26436,2,2,2020,,,
Alibaba,CHN,China,"(30.5722599, 104.0665099)",30.5722599,104.0665099,2,2,2020,,,
Alibaba,CHN,China,"(26.0742099, 119.29647)",26.0742099,119.29647,1,1,2022,,,
Alibaba,CHN,China,"(30.5927599, 114.30525)",30.5927599,114.30525,1,1,2023,,,
AWS,"USA, OR",United States,"(43.8041334, -120.5542012)",43.8041334,-120.5542012,4,4,2011,,,
AWS,"USA, VA",United States,"(38.8050552, -77.04698619999999)",38.8050552,-77.04698619999999,6,6,2006,,,
AWS,"USA, CA",United States,"(36.778261, -119.4179324)",36.778261,-119.4179324,3,3,2009,,,
AWS,"USA, OH",United States,"(40.4172871, -82.90712300000001)",40.4172871,-82.90712300000001,3,3,2016,,,
AWS,CAN,Canada,"(56.130366, -106.346771)",56.130366,-106.346771,3,3,2016,,,
AWS,CAN,Canada,"(51.04473309999999, -114.0718831)",51.04473309999999,-114.0718831,3,3,2023,,,
